attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch 21300 | force_w 0.000 | train loss   0.2006 | valid acc 0.8462 | 0.155s / epoch | 
epoch 21400 | force_w 0.000 | train loss   0.2077 | valid acc 0.9615 | 0.156s / epoch | 
epoch 21500 | force_w 0.000 | train loss   0.2018 | valid acc 0.8654 | 0.155s / epoch | 
epoch 21600 | force_w 0.000 | train loss   0.2085 | valid acc 0.9615 | 0.156s / epoch | 
epoch 21700 | force_w 0.000 | train loss   0.2017 | valid acc 0.8462 | 0.155s / epoch | 
epoch 21800 | force_w 0.000 | train loss   0.2093 | valid acc 0.9615 | 0.156s / epoch | 
epoch 21900 | force_w 0.000 | train loss   0.2030 | valid acc 0.8654 | 0.156s / epoch | 
epoch 22000 | force_w 0.000 | train loss   0.2031 | valid acc 0.9615 | 0.156s / epoch | 
epoch 22100 | force_w 0.000 | train loss   0.1955 | valid acc 0.8462 | 0.155s / epoch | 
epoch 22200 | force_w 0.000 | train loss   0.2002 | valid acc 0.9615 | 0.156s / epoch | 
epoch 22300 | force_w 0.000 | train loss   0.2082 | valid acc 0.8654 | 0.157s / epoch | 
epoch 22400 | force_w 0.000 | train loss   0.1991 | valid acc 0.9615 | 0.157s / epoch | 
epoch 22500 | force_w 0.000 | train loss   0.2058 | valid acc 0.8654 | 0.157s / epoch | 
epoch 22600 | force_w 0.000 | train loss   0.2022 | valid acc 0.9615 | 0.156s / epoch | 
epoch 22700 | force_w 0.000 | train loss   0.1946 | valid acc 0.8462 | 0.156s / epoch | 
epoch 22800 | force_w 0.000 | train loss   0.1957 | valid acc 0.9615 | 0.157s / epoch | 
epoch 22900 | force_w 0.000 | train loss   0.1970 | valid acc 0.8462 | 0.154s / epoch | 
epoch 23000 | force_w 0.000 | train loss   0.2042 | valid acc 0.9615 | 0.156s / epoch | 
epoch 23100 | force_w 0.000 | train loss   0.2021 | valid acc 0.8654 | 0.155s / epoch | 
epoch 23200 | force_w 0.000 | train loss   0.1983 | valid acc 0.9615 | 0.155s / epoch | 
epoch 23300 | force_w 0.000 | train loss   0.1894 | valid acc 0.8462 | 0.155s / epoch | 
epoch 23400 | force_w 0.000 | train loss   0.1914 | valid acc 0.9615 | 0.156s / epoch | 
epoch 23500 | force_w 0.000 | train loss   0.2053 | valid acc 0.8654 | 0.156s / epoch | 
epoch 23600 | force_w 0.000 | train loss   0.1944 | valid acc 0.9615 | 0.156s / epoch | 
epoch 23700 | force_w 0.000 | train loss   0.1938 | valid acc 0.8462 | 0.156s / epoch | 
epoch 23800 | force_w 0.000 | train loss   0.2039 | valid acc 0.9615 | 0.156s / epoch | 
epoch 23900 | force_w 0.000 | train loss   0.2068 | valid acc 0.8654 | 0.154s / epoch | 
epoch 24000 | force_w 0.000 | train loss   0.1941 | valid acc 0.9615 | 0.154s / epoch | 
epoch 24100 | force_w 0.000 | train loss   0.1938 | valid acc 0.8462 | 0.156s / epoch | 
epoch 24200 | force_w 0.000 | train loss   0.1962 | valid acc 0.9615 | 0.158s / epoch | 
epoch 24300 | force_w 0.000 | train loss   0.2041 | valid acc 0.8654 | 0.155s / epoch | 
epoch 24400 | force_w 0.000 | train loss   0.1939 | valid acc 0.9615 | 0.156s / epoch | 
epoch 24500 | force_w 0.000 | train loss   0.1923 | valid acc 0.8462 | 0.155s / epoch | 
epoch 24600 | force_w 0.000 | train loss   0.2022 | valid acc 0.9615 | 0.155s / epoch | 
epoch 24700 | force_w 0.000 | train loss   0.1824 | valid acc 0.9615 | 0.155s / epoch | 
epoch 24800 | force_w 0.000 | train loss   0.1846 | valid acc 0.9615 | 0.156s / epoch | 
epoch 24900 | force_w 0.000 | train loss   0.1816 | valid acc 0.9615 | 0.160s / epoch | 
epoch 25000 | force_w 0.000 | train loss   0.1866 | valid acc 0.8462 | 0.156s / epoch | 
epoch 25100 | force_w 0.000 | train loss   0.1943 | valid acc 0.9615 | 0.155s / epoch | 
epoch 25200 | force_w 0.000 | train loss   0.1832 | valid acc 0.8462 | 0.153s / epoch | 
epoch 25300 | force_w 0.000 | train loss   0.1883 | valid acc 0.9615 | 0.155s / epoch | 
epoch 25400 | force_w 0.000 | train loss   0.1847 | valid acc 0.8462 | 0.153s / epoch | 
epoch 25500 | force_w 0.000 | train loss   0.1861 | valid acc 0.9615 | 0.154s / epoch | 
epoch 25600 | force_w 0.000 | train loss   0.1865 | valid acc 0.9615 | 0.155s / epoch | 
epoch 25700 | force_w 0.000 | train loss   0.1834 | valid acc 0.9615 | 0.155s / epoch | 
epoch 25800 | force_w 0.000 | train loss   0.1884 | valid acc 0.9615 | 0.154s / epoch | 
epoch 25900 | force_w 0.000 | train loss   0.1836 | valid acc 0.9615 | 0.154s / epoch | 
epoch 26000 | force_w 0.000 | train loss   0.1860 | valid acc 0.9615 | 0.154s / epoch | 
epoch 26100 | force_w 0.000 | train loss   0.1829 | valid acc 0.9615 | 0.155s / epoch | 
epoch 26200 | force_w 0.000 | train loss   0.1867 | valid acc 0.9615 | 0.154s / epoch | 
epoch 26300 | force_w 0.000 | train loss   0.1840 | valid acc 0.9615 | 0.155s / epoch | 
epoch 26400 | force_w 0.000 | train loss   0.1839 | valid acc 0.9615 | 0.154s / epoch | 
epoch 26500 | force_w 0.000 | train loss   0.1836 | valid acc 0.9615 | 0.154s / epoch | 
epoch 26600 | force_w 0.000 | train loss   0.1830 | valid acc 0.9615 | 0.154s / epoch | 
epoch 26700 | force_w 0.000 | train loss   0.1837 | valid acc 0.9615 | 0.155s / epoch | 
epoch 26800 | force_w 0.000 | train loss   0.1822 | valid acc 0.9615 | 0.154s / epoch | 
epoch 26900 | force_w 0.000 | train loss   0.1828 | valid acc 0.9615 | 0.154s / epoch | 
epoch 27000 | force_w 0.000 | train loss   0.1799 | valid acc 0.8462 | 0.152s / epoch | 
epoch 27100 | force_w 0.000 | train loss   0.1836 | valid acc 0.9615 | 0.155s / epoch | 
epoch 27200 | force_w 0.000 | train loss   0.1772 | valid acc 0.8462 | 0.155s / epoch | 
epoch 27300 | force_w 0.000 | train loss   0.1818 | valid acc 0.9615 | 0.156s / epoch | 
epoch 27400 | force_w 0.000 | train loss   0.1734 | valid acc 0.8462 | 0.155s / epoch | 
epoch 27500 | force_w 0.000 | train loss   0.1784 | valid acc 0.9615 | 0.156s / epoch | 
